x,y
26.65182113647461,-0.8286669850349426
26.658676147460938,-0.8985986113548279
26.66425323486328,-0.9471532702445984
26.67310905456543,-1.0129247903823853
26.682201385498047,-1.0717724561691284
26.688539505004883,-1.1095263957977295
26.698305130004883,-1.1625438928604126
26.70810890197754,-1.2113524675369263
26.71702003479004,-1.252748966217041
26.729799270629883,-1.3075731992721558
26.74459457397461,-1.3660399913787842
26.760345458984375,-1.4236278533935547
26.77206039428711,-1.4642040729522705
26.788822174072266,-1.5187352895736694
26.809906005859375,-1.5825927257537842
26.824247360229492,-1.6239013671875
26.847631454467773,-1.6872020959854126
26.865156173706055,-1.7322998046875
26.892040252685547,-1.7974755764007568
26.92391014099121,-1.8696435689926147
26.946903228759766,-1.9191259145736694
26.963973999023438,-1.9546728134155273
26.987958908081055,-2.002641439437866
27.01222038269043,-2.0492138862609863
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,-4.882812390860636e-06
0.0,-4.882812390860636e-06
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,4.882812390860636e-06
0.0,-0.0
4.882812390860636e-06,4.882812390860636e-06
4.882812390860636e-06,4.882812390860636e-06
4.882812390860636e-06,4.882812390860636e-06
4.882812390860636e-06,9.765624781721272e-06
4.882812390860636e-06,9.765624781721272e-06
4.882812390860636e-06,4.882812390860636e-06
4.882812390860636e-06,9.765624781721272e-06
4.882812390860636e-06,9.765624781721272e-06
9.765624781721272e-06,1.4648437172581907e-05
9.765624781721272e-06,1.4648437172581907e-05
9.765624781721272e-06,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
9.765624781721272e-06,1.4648437172581907e-05
9.765624781721272e-06,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.4648437172581907e-05,1.4648437172581907e-05
1.9531249563442543e-05,1.9531249563442543e-05
1.9531249563442543e-05,1.9531249563442543e-05
2.9296874345163815e-05,2.9296874345163815e-05
0.0051855468191206455,-8.300781337311491e-05
0.014633788727223873,-0.0003124999930150807
0.023701170459389687,-0.0005371093866415322
0.038261719048023224,-0.0008984374580904841
0.05551757663488388,-0.0013232422061264515
0.07054199278354645,-0.0017529296455904841
0.09587401896715164,-0.002548828022554517
0.13426269590854645,-0.003779296763241291
0.17630858719348907,-0.005083007737994194
0.2299462854862213,-0.006699218414723873
0.2775195240974426,-0.008105468936264515
0.3183837831020355,-0.00930175743997097
0.39918944239616394,-0.01162109337747097
0.4674365222454071,-0.013554687611758709
0.5223486423492432,-0.015102538280189037
0.5963329672813416,-0.017124023288488388
0.6605468392372131,-0.018828123807907104
0.7641845345497131,-0.021479491144418716
0.8404541015625,-0.023393554612994194
0.9311816096305847,-0.02561035007238388
1.0217187404632568,-0.027729490771889687
1.090112328529358,-0.0292822252959013
1.2067919969558716,-0.031816404312849045
1.3170117139816284,-0.03410644456744194
1.4152929782867432,-0.035991210490465164
1.5585497617721558,-0.03860839828848839
1.6282470226287842,-0.03985839709639549
1.787050724029541,-0.04244140535593033
1.8985693454742432,-0.04416503757238388
2.022285223007202,-0.04583495855331421
2.1461033821105957,-0.047221679240465164
2.252636671066284,-0.04824218526482582
